t,unix_time,north_m,east_m,down_m,vn_m_s,ve_m_s,vd_m_s,roll_deg,pitch_deg,yaw_deg,flight_mode,mission_phase,mission_t0_unix
0.100,1770396644.200056,-0.018,0.017,-0.539,-0.002,-0.000,-0.602,-0.09859880059957504,-0.030048411339521408,0.9876973628997803,,INIT,
0.202,1770396644.302100,-0.018,0.017,-0.600,-0.002,-0.003,-0.588,-0.09642564505338669,-0.0498637855052948,0.9953134655952454,,INIT,
0.303,1770396644.403347,-0.017,0.018,-0.654,-0.001,-0.004,-0.574,-0.08595138043165207,-0.03605148568749428,0.9944969415664673,,INIT,
0.404,1770396644.503993,-0.016,0.019,-0.712,0.000,-0.003,-0.558,-0.10749083012342453,-0.005364242009818554,0.9965314865112305,,INIT,
0.505,1770396644.604996,-0.015,0.020,-0.764,0.002,-0.003,-0.532,-0.12830787897109985,0.010034484788775444,1.0131151676177979,,INIT,
0.606,1770396644.706002,-0.014,0.022,-0.816,0.002,-0.004,-0.466,-0.15515057742595673,0.01910281740128994,1.0033742189407349,,INIT,
0.707,1770396644.807294,-0.013,0.022,-0.857,0.003,-0.005,-0.366,-0.15793773531913757,0.044206541031599045,0.9747976064682007,,INIT,
0.808,1770396644.907937,-0.012,0.023,-0.889,0.005,-0.007,-0.255,-0.14381836354732513,0.0769926980137825,0.9665163159370422,,INIT,
0.909,1770396645.009249,-0.011,0.023,-0.912,0.003,-0.008,-0.189,-0.14059515297412872,0.0929010733962059,0.9766548871994019,,INIT,
1.010,1770396645.110332,-0.010,0.023,-0.933,0.002,-0.008,-0.153,-0.15171754360198975,0.08697770535945892,0.9937391877174377,HOLD,INIT,
1.111,1770396645.210917,-0.009,0.023,-0.951,0.004,-0.008,-0.146,-0.14229291677474976,0.08752403408288956,0.9941458106040955,HOLD,INIT,
1.212,1770396645.311815,-0.008,0.023,-0.970,0.004,-0.010,-0.157,-0.14043286442756653,0.1093800738453865,0.981442391872406,HOLD,INIT,
1.313,1770396645.412933,-0.007,0.023,-0.986,0.003,-0.011,-0.089,-0.06532718986272812,0.09165584295988083,0.9945099353790283,HOLD,INIT,
1.414,1770396645.514276,-0.006,0.023,-0.994,0.002,-0.010,-0.011,0.015300966799259186,0.06349203735589981,1.0052907466888428,HOLD,INIT,
1.515,1770396645.615006,-0.005,0.023,-0.996,0.000,-0.008,0.035,0.046124622225761414,0.031948789954185486,1.0078966617584229,HOLD,INIT,
1.616,1770396645.715856,-0.004,0.024,-0.993,-0.003,-0.007,0.066,0.03324386477470398,0.011372019536793232,0.9919734001159668,HOLD,INIT,
1.717,1770396645.816860,-0.003,0.024,-0.989,-0.000,-0.006,0.082,0.022365713492035866,0.011326898820698261,0.9827709197998047,HOLD,INIT,
1.818,1770396645.918030,-0.002,0.025,-0.984,0.001,-0.005,0.089,-4.986318526789546e-05,0.05516601353883743,0.9678157567977905,HOLD,INIT,
1.919,1770396646.018967,-0.001,0.025,-0.978,0.000,-0.004,0.090,-0.00653778575360775,0.08420320600271225,0.9625969529151917,HOLD,INIT,
2.020,1770396646.119879,-0.001,0.026,-0.972,-0.001,-0.004,0.087,-0.02581726759672165,0.07870036363601685,0.9746110439300537,OFFBOARD,INIT,
2.120,1770396646.220372,-0.000,0.026,-0.966,0.000,-0.004,0.082,-0.029915455728769302,0.08425986021757126,0.9833434820175171,OFFBOARD,INIT,
2.222,1770396646.321555,0.000,0.026,-0.960,-0.000,-0.006,0.073,-0.021607041358947754,0.09737066179513931,0.9942277669906616,OFFBOARD,INIT,
2.322,1770396646.422278,0.001,0.026,-0.955,-0.001,-0.006,0.065,-0.013237103819847107,0.08340618014335632,1.00267493724823,OFFBOARD,INIT,
2.423,1770396646.522830,0.001,0.026,-0.950,-0.002,-0.007,0.054,0.0007749807555228472,0.07493693381547928,0.9893797636032104,OFFBOARD,INIT,
2.524,1770396646.624018,0.001,0.026,-0.947,-0.002,-0.006,0.045,0.006944100838154554,0.08459965139627457,0.9885921478271484,OFFBOARD,INIT,
2.625,1770396646.724802,0.001,0.026,-0.943,-0.007,-0.008,0.035,0.00862071756273508,0.06677814573049545,0.9895312786102295,OFFBOARD,INIT,
2.726,1770396646.825684,0.000,0.026,-0.941,-0.006,-0.005,0.026,-0.0007611417095176876,-0.29288920760154724,0.9792846441268921,OFFBOARD,INIT,
2.827,1770396646.926659,-0.000,0.027,-0.939,0.002,-0.005,0.018,-0.0053378441371023655,-0.9868943095207214,0.9714483618736267,OFFBOARD,INIT,
2.927,1770396647.027110,0.001,0.029,-0.938,0.021,-0.004,0.012,-0.0218436811119318,-1.813094973564148,0.9669365882873535,OFFBOARD,INIT,
3.028,1770396647.127787,0.004,0.030,-0.937,0.056,-0.001,0.004,-0.060896120965480804,-2.4693455696105957,0.9888409972190857,OFFBOARD,INIT,
3.129,1770396647.228851,0.010,0.032,-0.937,0.098,0.001,0.001,-0.09631916880607605,-3.004737138748169,0.9867829084396362,OFFBOARD,INIT,
3.230,1770396647.329809,0.021,0.035,-0.937,0.151,0.002,-0.005,-0.11694518476724625,-3.468461036682129,1.0066449642181396,OFFBOARD,INIT,
3.331,1770396647.430952,0.036,0.037,-0.937,0.208,0.001,-0.009,-0.1380452811717987,-3.8564987182617188,1.0415736436843872,OFFBOARD,INIT,
3.432,1770396647.532153,0.057,0.039,-0.938,0.275,0.003,-0.011,-0.1522148996591568,-4.121389389038086,1.080557942390442,OFFBOARD,INIT,
3.533,1770396647.633003,0.082,0.042,-0.939,0.341,0.003,-0.014,-0.17822204530239105,-4.335611343383789,1.1434013843536377,OFFBOARD,INIT,
3.634,1770396647.734431,0.116,0.044,-0.940,0.415,0.003,-0.016,-0.2020232081413269,-4.417634963989258,1.2307928800582886,OFFBOARD,INIT,
3.736,1770396647.835542,0.153,0.046,-0.941,0.483,0.005,-0.018,-0.2203238606452942,-4.419681072235107,1.2998756170272827,OFFBOARD,INIT,
3.836,1770396647.936260,0.200,0.049,-0.943,0.555,0.004,-0.019,-0.23170171678066254,-4.381969928741455,1.378301739692688,OFFBOARD,INIT,
3.938,1770396648.038174,0.250,0.051,-0.944,0.622,0.006,-0.020,-0.23933136463165283,-4.2574143409729,1.4465053081512451,OFFBOARD,INIT,
4.039,1770396648.138994,0.311,0.054,-0.945,0.691,0.006,-0.022,-0.2706262171268463,-4.103339672088623,1.4872875213623047,OFFBOARD,INIT,
4.140,1770396648.239966,0.374,0.057,-0.947,0.750,0.005,-0.021,-0.28310325741767883,-3.8855795860290527,1.4888622760772705,OFFBOARD,INIT,
4.241,1770396648.340883,0.449,0.060,-0.948,0.814,0.003,-0.023,-0.26819148659706116,-3.655226707458496,1.4869304895401,OFFBOARD,INIT,
4.342,1770396648.441874,0.524,0.062,-0.950,0.868,0.003,-0.023,-0.24584519863128662,-3.411010265350342,1.429211139678955,OFFBOARD,INIT,
4.443,1770396648.542801,0.611,0.064,-0.951,0.923,0.002,-0.021,-0.22376658022403717,-3.1422231197357178,1.375447154045105,OFFBOARD,INIT,
4.544,1770396648.643660,0.735,0.067,-0.953,0.990,0.002,-0.021,-0.22308160364627838,-2.790034532546997,1.3023264408111572,OFFBOARD,INIT,
4.645,1770396648.744730,0.828,0.069,-0.955,1.031,0.001,-0.023,-0.1987188458442688,-2.441638469696045,1.1963579654693604,OFFBOARD,INIT,
4.746,1770396648.845974,0.934,0.071,-0.956,1.069,0.000,-0.021,-0.1870434284210205,-2.112144708633423,1.1439274549484253,OFFBOARD,INIT,
4.847,1770396648.946931,1.035,0.073,-0.958,1.098,0.000,-0.022,-0.18522651493549347,-1.793204426765442,1.1034674644470215,OFFBOARD,INIT,
4.948,1770396649.047792,1.148,0.075,-0.960,1.124,0.000,-0.021,-0.18702717125415802,-1.4562166929244995,1.1008524894714355,OFFBOARD,INIT,
5.049,1770396649.148964,1.255,0.076,-0.961,1.144,0.000,-0.020,-0.19362573325634003,-1.1317329406738281,1.0848225355148315,OFFBOARD,INIT,
5.150,1770396649.250257,1.374,0.078,-0.963,1.160,-0.004,-0.021,-0.18799935281276703,-0.8286447525024414,1.0596762895584106,OFFBOARD,INIT,
5.251,1770396649.351020,1.486,0.079,-0.965,1.170,-0.005,-0.021,-0.15862710773944855,-0.5519750714302063,1.0323209762573242,OFFBOARD,INIT,
5.352,1770396649.451835,1.608,0.079,-0.967,1.177,-0.006,-0.020,-0.12414763122797012,-0.3115087151527405,0.9930506348609924,OFFBOARD,INIT,
5.452,1770396649.552163,1.722,0.079,-0.969,1.178,-0.007,-0.020,-0.0948091521859169,-0.037945132702589035,0.9884719848632812,OFFBOARD,INIT,
5.553,1770396649.652938,1.847,0.079,-0.971,1.177,-0.007,-0.018,-0.07272201776504517,0.18043354153633118,0.9931156635284424,OFFBOARD,INIT,
5.654,1770396649.754098,1.962,0.079,-0.972,1.172,-0.007,-0.016,-0.0723491758108139,0.4032013714313507,1.018608808517456,OFFBOARD,INIT,
5.755,1770396649.854698,2.087,0.080,-0.974,1.163,-0.008,-0.016,-0.06274230778217316,0.6038364768028259,1.0488160848617554,OFFBOARD,INIT,
5.856,1770396649.955971,2.202,0.079,-0.976,1.154,-0.008,-0.015,-0.0357542559504509,0.7366704940795898,1.0629656314849854,OFFBOARD,INIT,
5.957,1770396650.056703,2.326,0.079,-0.978,1.140,-0.009,-0.015,-0.005493787582963705,0.9076618552207947,1.0847798585891724,OFFBOARD,INIT,
6.057,1770396650.157453,2.439,0.079,-0.980,1.125,-0.007,-0.013,0.0241017434746027,1.0182167291641235,1.098892092704773,OFFBOARD,INIT,
6.158,1770396650.258446,2.560,0.079,-0.981,1.108,-0.007,-0.011,0.03745828941464424,1.1012983322143555,1.1073962450027466,OFFBOARD,INIT,
6.260,1770396650.359604,2.671,0.079,-0.983,1.092,-0.007,-0.009,0.04606015607714653,1.1500540971755981,1.0756834745407104,OFFBOARD,INIT,
6.361,1770396650.460514,2.788,0.080,-0.984,1.073,-0.006,-0.008,0.06647921353578568,1.1669431924819946,1.0479375123977661,OFFBOARD,INIT,
6.461,1770396650.560978,2.895,0.080,-0.985,1.055,-0.004,-0.007,0.09682869911193848,1.247382402420044,1.0104786157608032,OFFBOARD,INIT,
6.563,1770396650.662580,3.008,0.081,-0.986,1.034,-0.003,-0.006,0.08255306631326675,1.254080057144165,0.9802582263946533,OFFBOARD,INIT,
6.664,1770396650.763819,3.111,0.081,-0.987,1.016,-0.002,-0.004,0.07560911774635315,1.2113361358642578,0.9602524042129517,OFFBOARD,INIT,
6.765,1770396650.865052,3.220,0.083,-0.987,0.995,0.000,-0.004,0.08027840405702591,1.1483991146087646,0.9326618313789368,OFFBOARD,INIT,
6.866,1770396650.966032,3.319,0.084,-0.988,0.978,0.002,-0.004,0.0828283503651619,1.0522581338882446,0.9001632928848267,OFFBOARD,INIT,
6.967,1770396651.066906,3.424,0.087,-0.989,0.962,0.004,-0.004,0.03668058291077614,0.9531124830245972,0.8614031076431274,OFFBOARD,INIT,
7.068,1770396651.168150,3.520,0.090,-0.990,0.945,0.005,-0.004,0.021768879145383835,0.8451341390609741,0.8369660973548889,OFFBOARD,INIT,
7.169,1770396651.269209,3.621,0.093,-0.990,0.930,0.005,-0.003,0.008538168855011463,0.7408506870269775,0.8195127248764038,OFFBOARD,INIT,
7.270,1770396651.370363,3.714,0.097,-0.991,0.918,0.005,-0.004,-0.007825806736946106,0.6433016657829285,0.7865158915519714,OFFBOARD,INIT,
7.371,1770396651.470968,3.812,0.100,-0.991,0.906,0.003,-0.002,-0.02466941624879837,0.5468886494636536,0.7799667716026306,OFFBOARD,INIT,
7.472,1770396651.572324,3.901,0.103,-0.991,0.896,0.003,-0.002,-0.01931007020175457,0.40439140796661377,0.7696377635002136,OFFBOARD,INIT,
7.574,1770396651.673518,3.996,0.106,-0.991,0.888,0.003,-0.001,-0.03497721254825592,0.2923048436641693,0.7328619360923767,OFFBOARD,INIT,
7.675,1770396651.774569,4.084,0.110,-0.991,0.882,0.005,-0.002,-0.0414513535797596,0.2144300490617752,0.7096556425094604,OFFBOARD,INIT,
7.776,1770396651.875767,4.177,0.114,-0.991,0.879,0.006,-0.002,-0.0867372527718544,0.06364984810352325,0.6909651756286621,OFFBOARD,INIT,
7.877,1770396651.977117,4.263,0.117,-0.992,0.877,0.005,-0.002,-0.1108696311712265,0.39555463194847107,0.7131340503692627,OFFBOARD,INIT,
7.978,1770396652.078416,4.355,0.121,-0.992,0.864,0.006,-0.004,-0.11844493448734283,1.0528141260147095,0.7374404072761536,OFFBOARD,INIT,
8.080,1770396652.179988,4.438,0.124,-0.992,0.841,0.005,-0.005,-0.13779979944229126,1.7473739385604858,0.7430959939956665,OFFBOARD,INIT,
8.181,1770396652.280729,4.524,0.128,-0.993,0.804,0.006,-0.006,-0.018669310957193375,2.351598024368286,0.9182116389274597,OFFBOARD,INIT,
8.281,1770396652.381237,4.600,0.132,-0.993,0.763,0.008,-0.005,0.2057376503944397,2.816498041152954,1.4915153980255127,OFFBOARD,INIT,
8.382,1770396652.481887,4.678,0.136,-0.994,0.708,0.014,-0.004,0.3810083866119385,3.148210287094116,2.41567325592041,OFFBOARD,INIT,
8.483,1770396652.583057,4.745,0.141,-0.995,0.656,0.022,-0.005,0.5576685070991516,3.420525312423706,3.9383816719055176,OFFBOARD,INIT,
8.584,1770396652.684009,4.811,0.146,-0.996,0.592,0.030,-0.003,0.6923953294754028,3.5822060108184814,6.22324275970459,OFFBOARD,INIT,
8.685,1770396652.784763,4.867,0.152,-0.997,0.532,0.035,-0.003,0.8122072219848633,3.654487371444702,8.56046199798584,OFFBOARD,INIT,
8.785,1770396652.885264,4.901,0.156,-0.998,0.490,0.038,-0.002,1.012617826461792,3.6142563819885254,11.428924560546875,OFFBOARD,INIT,
8.886,1770396652.986062,4.951,0.162,-0.998,0.424,0.044,-0.000,1.3148471117019653,3.4760806560516357,14.583176612854004,OFFBOARD,INIT,
8.987,1770396653.087192,4.992,0.169,-0.998,0.366,0.051,0.002,1.5674229860305786,3.256653070449829,17.860383987426758,OFFBOARD,INIT,
9.088,1770396653.187875,5.030,0.177,-0.998,0.305,0.062,0.001,1.894058108329773,2.9747672080993652,21.229400634765625,OFFBOARD,INIT,
9.189,1770396653.288969,5.060,0.185,-0.999,0.250,0.076,0.000,2.2248902320861816,2.613565444946289,24.592870712280273,OFFBOARD,INIT,
9.290,1770396653.390300,5.088,0.196,-0.999,0.193,0.095,-0.000,2.4652211666107178,2.2284998893737793,27.522415161132812,OFFBOARD,INIT,
9.392,1770396653.491467,5.107,0.207,-0.999,0.144,0.116,-0.000,2.748706340789795,1.7093446254730225,31.230966567993164,OFFBOARD,INIT,
9.493,1770396653.592649,5.123,0.222,-1.000,0.096,0.142,0.001,2.9138553142547607,1.2128403186798096,34.4732551574707,OFFBOARD,INIT,
9.594,1770396653.693980,5.133,0.239,-1.000,0.056,0.171,0.003,3.0617427825927734,0.7091601490974426,37.64748764038086,OFFBOARD,INIT,
9.695,1770396653.794888,5.140,0.259,-0.999,0.014,0.205,0.005,3.1197469234466553,0.20707160234451294,40.73400115966797,OFFBOARD,INIT,
9.796,1770396653.895646,5.142,0.291,-0.998,-0.034,0.256,0.005,3.0537607669830322,-0.26594486832618713,43.74720001220703,OFFBOARD,INIT,
9.897,1770396653.996549,5.139,0.317,-0.997,-0.060,0.296,0.004,2.963174819946289,-0.7314938902854919,46.667755126953125,OFFBOARD,INIT,
9.998,1770396654.097659,5.134,0.349,-0.996,-0.087,0.340,0.002,2.840092897415161,-1.1368409395217896,49.55097579956055,OFFBOARD,INIT,
10.099,1770396654.198510,5.128,0.371,-0.995,-0.102,0.368,0.001,2.672455072402954,-1.5215367078781128,52.401611328125,OFFBOARD,INIT,
10.200,1770396654.299858,5.118,0.407,-0.995,-0.122,0.412,0.000,2.458742380142212,-1.906820297241211,55.226959228515625,OFFBOARD,INIT,
10.301,1770396654.400604,5.101,0.466,-0.994,-0.144,0.477,-0.001,2.179762125015259,-2.214594602584839,58.07133865356445,OFFBOARD,INIT,
10.402,1770396654.501754,5.085,0.517,-0.994,-0.154,0.528,-0.002,1.8263922929763794,-2.4478187561035156,60.86921691894531,OFFBOARD,INIT,
10.503,1770396654.603049,5.070,0.568,-0.994,-0.161,0.571,-0.002,1.5195233821868896,-2.6402902603149414,63.70648956298828,OFFBOARD,INIT,
